ThomDe02,2008,was,1,nyg,0,0,0,0,0,0,0,1,5,0
RandAn00,2008,was,1,nyg,0,0,0,0,0,0,0,7,73,0
PortCl00,2008,was,1,nyg,0,0,0,0,0,23,84,0,0,0
MossSa00,2008,was,1,nyg,0,0,0,0,0,0,0,5,37,1
FurrMi00,2008,det,1,atl,0,0,0,0,0,0,0,2,14,0
HartBe00,2008,atl,1,det,0,0,0,0,0,0,0,1,17,0
GainMi00,2008,det,1,atl,0,0,0,0,0,0,0,2,11,0
DarlDe00,2008,kan,1,nwe,0,0,0,0,0,0,0,1,68,0
HallDa00,2008,ram,1,phi,0,0,0,0,0,1,-4,3,13,0
LewiMa00,2008,jax,1,oti,0,0,0,0,0,0,0,3,29,0
ManuBr00,2008,sdg,1,car,0,0,0,0,0,0,0,3,15,0
HoovBr00,2008,car,1,sdg,0,0,0,0,0,1,3,0,0,0
JackNa00,2008,den,1,rai,0,0,0,0,0,0,0,2,5,0
McFaDa00,2008,rai,1,den,0,0,0,0,0,9,46,1,11,0
PittMi00,2008,den,1,rai,0,0,0,0,0,7,12,0,0,2
DrivDo00,2008,gnb,1,min,0,0,0,0,0,0,0,4,38,0
BerrBe00,2008,min,1,gnb,0,0,0,0,0,0,0,3,38,0
AddaJo00,2008,clt,1,chi,0,0,0,0,0,12,44,1,3,0
ClarDa00,2008,clt,1,chi,0,0,0,0,0,0,0,1,8,0
BookMa00,2008,chi,1,clt,0,0,0,0,0,0,0,1,7,0
ClarDe00,2008,chi,1,clt,0,0,0,0,0,0,0,2,46,0
DaviRa00,2008,chi,1,clt,0,0,0,0,0,0,0,2,10,0
FortMa00,2008,chi,1,clt,0,0,0,0,0,23,123,3,18,1
JohnBr02,2008,sfo,1,crd,0,0,0,0,0,0,0,3,48,0
KeasZa20,2008,sfo,1,crd,0,0,0,0,0,0,0,2,13,0
HighTi00,2008,crd,1,sfo,0,0,0,0,0,8,13,3,21,1
RivePh00,2008,sdg,1,car,17,27,217,3,0,1,-1,0,0,0
JarrDw00,2008,car,1,sdg,0,0,0,0,0,0,0,2,36,0
KingJe00,2008,car,1,sdg,0,0,0,0,0,0,0,1,4,0
LewiJa00,2008,cle,1,dal,0,0,0,0,0,13,62,1,14,0
JoneFe00,2008,dal,1,cle,0,0,0,0,0,9,62,0,0,1
BreeDr00,2008,nor,1,tam,23,32,343,3,1,3,-2,0,0,0
BushRe00,2008,nor,1,tam,0,0,0,0,0,14,51,8,112,1
ColsMa00,2008,nor,1,tam,0,0,0,0,0,0,0,3,26,0
AskeB.00,2008,tam,1,nor,0,0,0,0,0,0,0,3,20,0
BryaAn00,2008,tam,1,nor,0,0,0,0,0,0,0,3,43,0
LyncMa00,2008,buf,1,sea,0,0,0,0,0,18,76,3,18,1
MoorBr24,2008,buf,1,sea,1,1,19,1,0,0,0,0,0,0
MorrMa00,2008,sea,1,buf,0,0,0,0,0,6,31,0,0,0
PaynLo20,2008,sea,1,buf,0,0,0,0,0,0,0,2,25,0
JohnCh04,2008,oti,1,jax,0,0,0,0,0,15,93,3,34,1
NortDe00,2008,jax,1,oti,0,0,0,0,0,0,0,2,19,0
MasoDe00,2008,rav,1,cin,0,0,0,0,0,0,0,4,44,0
McClLe00,2008,rav,1,cin,0,0,0,0,0,19,86,2,24,0
KellRe00,2008,cin,1,rav,0,0,0,0,0,0,0,1,15,0
DaviCa00,2008,pit,1,htx,0,0,0,0,0,0,0,1,10,0
AndeDa01,2008,htx,1,pit,0,0,0,0,0,0,0,1,2,0
DaniOw00,2008,htx,1,pit,0,0,0,0,0,0,0,3,33,0
BessDa00,2008,mia,1,nyj,0,0,0,0,0,0,0,1,8,0
CamaGr00,2008,mia,1,nyj,0,0,0,0,0,0,0,3,37,0
BrowRo05,2008,mia,1,nyj,0,0,0,0,0,6,23,3,28,0
